Designator,Mid X,Mid Y,Layer,Rotation
R430,29.387501999999998mm,75.131663mm,Top,180.0
C431,37.037501999999996mm,71.681663mm,Top,0.0
C430,33.337502mm,71.681663mm,Top,180.0
U430,34.657502mm,74.931663mm,Top,90.0
D430,29.387501999999998mm,72.711663mm,Top,90.0
R428,40.690601mm,17.945503mm,Bottom,270.0
R427,53.825001mm,19.300003mm,Bottom,180.0
R426,42.299201mm,18.940103mm,Top,90.0
R425,43.607301mm,11.825002999999999mm,Top,270.0
R424,43.607301mm,9.527902999999998mm,Top,90.0
LED4,55.366901mm,20.188903mm,Top,90.0
LED3,42.299201mm,16.790802999999997mm,Top,270.0
LED2,42.525901mm,11.800002999999998mm,Top,270.0
LED1,42.525901mm,9.552902999999999mm,Top,90.0
R422,49.516600999999994mm,20.300003mm,Bottom,0.0
C426,43.285000999999994mm,14.900002999999998mm,Top,180.0
C425,45.975001mm,14.900002999999998mm,Top,0.0
F410,48.818000999999995mm,6.633202999999998mm,Top,180.0
C415,43.651601mm,20.600002999999997mm,Bottom,180.0
C414,44.626600999999994mm,11.090003mm,Bottom,0.0
U411,46.052800999999995mm,15.950002999999999mm,Bottom,270.0
D410,53.175000999999995mm,6.933202999999999mm,Bottom,0.0
R411,53.076601mm,4.033203mm,Bottom,90.0
D417,50.426601mm,3.8000030000000002mm,Bottom,0.0
C410,45.182001mm,5.740002999999998mm,Bottom,0.0
D412,49.525000999999996mm,3.183202999999999mm,Top,0.0
R410,52.301601mm,3.150002999999998mm,Top,180.0
D413,49.525000999999996mm,4.808202999999999mm,Top,0.0
C411,50.451601mm,5.600002999999997mm,Bottom,180.0
R413,50.451601mm,7.133202999999998mm,Bottom,180.0
D414,52.975001mm,5.600002999999997mm,Bottom,180.0
D418,49.245000999999995mm,10.800002999999998mm,Top,180.0
D416,44.373401mm,6.706302999999998mm,Top,0.0
U410,44.776601mm,4.100002999999997mm,Top,0.0
C412,45.182001mm,3.700002999999999mm,Bottom,0.0
C413,47.151601mm,4.537102999999998mm,Top,270.0
D411,52.826601mm,5.608502999999999mm,Top,180.0
U420,51.911601mm,14.708203mm,Bottom,0.0
R420,47.801601mm,6.2831030000000005mm,Bottom,270.0
C429,49.616600999999996mm,19.300003mm,Bottom,180.0
C427,48.895300999999996mm,6.098102999999998mm,Bottom,90.0
C428,51.805701mm,19.300003mm,Bottom,0.0
C423,50.978401mm,9.208203mm,Bottom,270.0
C421,49.786801mm,9.208203mm,Bottom,270.0
C422,48.595301mm,9.208203mm,Bottom,270.0
C424,52.175000999999995mm,9.208203mm,Bottom,90.0
R421,48.420300999999995mm,10.970002999999998mm,Bottom,180.0
R423,51.705701mm,20.300003mm,Bottom,0.0
D420,50.175000999999995mm,21.300003mm,Top,180.0
C420,53.225001mm,8.800002999999998mm,Bottom,90.0
L420,45.275000999999996mm,8.900002999999998mm,Bottom,0.0
D421,44.925000999999995mm,19.260803mm,Top,90.0
L421,50.675000999999995mm,16.700003mm,Top,180.0
C474,18.089999mm,35.2714mm,Bottom,180.0
R470,17.174999mm,38.925mm,Bottom,90.0
U471,18.121999mm,33.89mm,Top,90.0
R474,18.089599mm,33.025mm,Bottom,90.0
R473,17.624999mm,34.2846mm,Bottom,180.0
R472,17.174999mm,36.8mm,Bottom,90.0
C473,19.074999000000002mm,32.925mm,Bottom,90.0
C472,17.224999mm,32.925mm,Bottom,270.0
U470,18.121999mm,37.864999999999995mm,Top,90.0
R471,18.074999000000002mm,38.925mm,Bottom,270.0
C471,19.074999000000002mm,38.875mm,Bottom,270.0
C470,19.074999000000002mm,36.75mm,Bottom,90.0
C771,72.05000000000001mm,71.0825mm,Top,90.0
C772,67.15mm,71.7825mm,Top,0.0
C773,67.15mm,70.434595mm,Top,0.0
D771,70.25mm,68.5825mm,Top,0.0
R771,76.65mm,74.7825mm,Top,0.0
R772,78.55000000000001mm,70.9825mm,Top,90.0
R773,74.95mm,72.3825mm,Top,0.0
R774,74.95mm,69.8825mm,Top,0.0
R775,70.75mm,71.0825mm,Top,90.0
R776,67.15mm,68.6325mm,Top,0.0
