Ref,Val,Package,PosX,PosY,Rot,Side
"MAP1","MPXH6400A","MPXH6400A-SSOP8",17.500000,74.000000,180.000000,top
"MCU1","Module:mega-mcu100/0.3","mega-mcu100",21.599990,30.999990,0.000000,top
"R2","33k","R0603",62.700000,8.500000,0.000000,top
"R3","6.8k","R0603",62.700000,7.000000,180.000000,top
"R4","Jumper-Pad-Pad","PAD-0805-PAD",47.905000,72.000000,180.000000,top
"R5","10k","R0805",14.000000,38.000000,0.000000,top
"R6","0","R0603",18.000000,29.500000,0.000000,top
"R7","10k","R0805",14.000000,35.497072,0.000000,top
"R8","10k","R0805",14.000000,32.994144,0.000000,top
"R9","4.7k","R0603",83.000000,28.500000,0.000000,top
"R14","4.7k","R0603",82.500000,14.000000,0.000000,top
"R20","0","R0603",12.787500,52.500000,0.000000,top
"R21","0","R0603",12.787500,50.500000,0.000000,top
"R22","0","R0603",12.787500,48.500000,0.000000,top
"R26","0","R0603",12.787500,46.500000,0.000000,top
"R27","0","R0603",12.787500,44.500000,0.000000,top
"R28","0","R0603",12.787500,42.500000,0.000000,top
"U1","TLE9201SG","Infineon_PG-DSO-12-11",73.875000,27.000000,0.000000,top
"U2","TLE9201SG","Infineon_PG-DSO-12-11",73.800000,12.500000,0.000000,top
"U4","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",13.000000,65.500000,0.000000,top
"U9","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",73.500000,54.500000,0.000000,top
"U10","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",73.500000,47.000000,0.000000,top
"U11","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",73.500000,39.500000,0.000000,top
"USB1","Conn_01x04_Pin","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",90.500000,59.500000,180.000000,top
